[lausanne#bar]
Chez Jaime#6.627467#46.523514##Café, Restaurant|Cuisine portugaise|Restaurants par spécialité|Pizzeria
le Cyrano#6.635119#46.519862#Selmanaj Skender#Café, Restaurant|Karaoke
Pomodoro della Nona#6.636013#46.521965#BÜTZ Sàrl#Café, Restaurant
Bruxelles Café#6.631627#46.52331#BB Café Sàrl#Café, Restaurant
Au Canard Pékinois#6.625442#46.523823##Cuisine chinoise|Restaurants par spécialité|Café, Restaurant
Relais de Vidy#6.599522#46.519425##Café, Restaurant
Café Mozart#6.633142#46.518733##Café, Restaurant|Brasserie
Happy Days#6.637286#46.519617##Café, Restaurant
Lausanne-Moudon#6.634074#46.525324##Café, Restaurant|Brasserie
le Jardin Thaï#6.62972#46.518384##
Bistrot du Flon#6.628172#46.521675#Galizia Claudio#Café, Restaurant
Bravissimo#6.639659#46.521307##Café, Restaurant|Cuisine italienne|Restaurants par spécialité
Buvette d'Ouchy#6.626467#46.506783#Sèvegrand Philippe#Café, Restaurant
Le P'tit Bouchon Cuénoud#6.620628#46.524985##Café, Restaurant
le Petit-Central#6.632888#46.520917##Café, Restaurant
Red Sea#6.628938#46.523633#Fidel Semere#Café, Restaurant
I Giardini d'Italia#6.631858#46.524463#Morina & Maddalena#
Victoria#6.631574#46.517273##Hôtel
Le CUBE#6.564695#46.543955#Move'n bloc SA#Centre sportif|Events
Abyssinia#6.631715#46.524426##Café, Restaurant|Cuisine africaine|Restaurants par spécialité|Banquet|Traiteur
Adriatico#6.609478#46.526254##Café, Restaurant
Auberge de Beaulieu#6.624396#46.527531##Café, Restaurant
Brasserie de la forêt#6.634766#46.536637##Café, Restaurant
Café des Artisans#6.634416#46.520748##Café, Restaurant
Carrefour Café#6.633595#46.51807##Café, Restaurant
Central Park Avenue#6.6322#46.520741##Café, Restaurant
des Artistes#6.634772#46.519536#Ramusa Besim#Café, Restaurant
el Chiringuito#6.629975#46.523127#Zito Antonio#Café, Restaurant
Karma#6.633252#46.521009#Carpentier Didier#Café, Restaurant
L'étoile blanche#6.637782#46.519557##Café, Restaurant
La Radio#6.649132#46.534813#Anton Juan Antonio#Café, Restaurant
le National#6.629844#46.523171##Café, Restaurant|Brasserie
Le Nil Bleu#6.640061#46.521471##Café, Restaurant|Cuisine africaine|Restaurants par spécialité|Cuisine végétarienne
Le Nocturne#6.626799#46.521143##
Ma-Jong#6.631247#46.519961##Café, Restaurant
Myò Sushi#6.627236#46.519788##Cuisine japonaise|Restaurants par spécialité|Café, Restaurant
Nomade#6.629967#46.521049##
Oh! Liban#6.635817#46.516781##Café, Restaurant|Traiteur
Petit Chêne#6.630306#46.518398##
Punjab#6.652014#46.526674##Café, Restaurant
Restaurant du Cygne#6.627383#46.523882#Martella Gabriel#Brasserie|Café, Restaurant
Tennis-Club#6.6086#46.514723##Café, Restaurant
Sayonara#6.616359#46.524622#Musso Enrico#Traiteur|Banquet|Café, Restaurant
Vieux-Lausanne#6.634288#46.522303#Ahlgren Anders#Café, Restaurant
Watergate#6.609228#46.512002##Café, Restaurant
Brasserie des Sauges#6.620347#46.535815#Descloux Gérald#Brasserie|Café, Restaurant|Centre commercial
Buzz Club#6.637317#46.52022##Discothèque
Café des Artistes#6.634772#46.519536#Ramusa Besim#Karaoke
Ephese#6.630412#46.523508##Café, Restaurant
Le Baladin#6.63368#46.540408#Milica Bartulovic#Café, Restaurant
Nô Sushi#6.626346#46.516579##Boulangerie et pâtisserie|Sushi
Wine Spirit#6.636098#46.52506##Cave à vin
Lausanne Palace#6.631371#46.51953##Hôtel
le Postillon#6.6054#46.586183##Café, Restaurant
Auberge communale du Mont#6.63633#46.5533#Gauvin Eric#Café, Restaurant
Auberge de la Charrue#6.603722#46.56306##
le Belmont#6.678133#46.520213##Café, Restaurant|Hôtel
la Hutte#6.553392#46.549454#Rodriguez Maria Pilar#Café, Restaurant
le Relais du Grand-Mont#6.632102#46.562248##Café, Restaurant
Green Club#6.61716#46.557679#L. De Sousa Oliviei & J.De Sousa Oliviei#Café, Restaurant
Tennis Club du Mont-sur-Lausanne#6.640837#46.557182##Café, Restaurant|Tennis-Club
National#6.841058#46.460286##Café, Restaurant
Le Rivage#6.685475#46.502126##Hôtel|Café, Restaurant
Astra Hôtel Vevey#6.843429#46.462467#Famille Ming - gestion hôtelière Ming SA#Hôtel|Café, Restaurant|Séminaire|Wellness|Conférences congrès séminaires
Gina Ristorante#6.566409#46.523358##Cuisine italienne|Restaurants par spécialité|Café, Restaurant
l'Empire du Dragon#6.544888#46.514131##Café, Restaurant|Cuisine chinoise|Restaurants par spécialité
Le Marchairuz#6.2604#46.514287#JJ Bachmann#Séminaire|Hôtel|Banquet|Café, Restaurant
l'Union#6.661053#46.543451##Hôtel|Café, Restaurant
le bistrot Capanna#6.161181#46.334788#Best Western Hôtel#Café, Restaurant
le Casino#6.499816#46.508747##Café, Restaurant
Le Chasseur#6.750646#46.556902#José Marques#Café, Restaurant|Pizzeria|Grill, Barbecue
[lausanne#disco]
Buzz Club#6.637317#46.52022##Discothèque
D! Club#6.631517#46.520259##Discothèque|Club
Jagger's#6.638357#46.519453#Fernandes Paulo#Discothèque|Night Club
Le Kadok Club#6.636777#46.522348##Discothèque
Le Romandie#6.631622#46.520197##Discothèque|Club
Rouge City#6.625286#46.523822##Discothèque|Club
White Club#6.634603#46.519553##Discothèque|Club|Night Club
Ze Code#6.634603#46.519553##Discothèque|Club|Night Club
[geneva#bar]
Qu'importe#6.14158#46.183229#L'Atelier Sarde SA#Café, Restaurant|Bar
Soleil Rouge#6.154977#46.201718##Bar|Commerce de Vin|Café, Restaurant
Funny Horse#6.145786#46.21007#Gil Manuel#Bar
Chat Noir#6.142234#46.184577##Bar|Café, Restaurant|Discothèque|Concert
rooftop 42#6.146942#46.203956##Café, Restaurant|Bar
Le Caprice#6.133791#46.201214##Bar
Secret Pearl#6.153412#46.203247##Club|Bar|Discothèque|Dancing|Cabaret
Bardot#6.144657#46.207403##Bar|Café, Restaurant
Globus#6.147403#46.204186##Boutique|Café, Restaurant|Bar|Take Away|Traiteur
Le Black Sheep#6.143464#46.206345#Machado de Souza#Bar
Globus au Molard#6.147403#46.204186##Café, Restaurant|Bar|Dégustation|Take Away|Cuisine thaï
